1차사업소,사용년월,부생연료사용량,등유사용량,전력사용량,가스사용량,경유사용량,지역난방사용량,지하수사용량,상수도사용량,연탄사용량
강원본부,201901,0,9650,1818968,0,0,0,,2708,0
강원본부,201902,0,5210,1751332,0,0,0,,2739,0
강원본부,201903,0,11500,1416864,0,0,0,,2562,0
강원본부,201904,0,0,1361492,0,0,0,,3123,0
강원본부,201905,0,0,1202208,0,0,0,,3127,0
강원본부,201906,0,900,1225272,0,0,0,,3508,0
강원본부,201907,0,0,1298946,0,0,0,,6426,0
강원본부,201909,0,0,1424954,0,0,0,,4228,0
강원본부,201910,0,24000,1220899,0,0,0,,5303,0
강원본부,201911,0,17500,0,0,0,0,,12730,0
강원본부,201912,0,129585,1540200,0,0,0,,11545,0
강원본부,202001,0,25836,1758227,0,0,0,,47877,0
경기본부,201901,18000,700,4050094,1510,0,0,,4206,0
경기본부,201902,9000,700,3812026,0,0,3637,,4431,0
경기본부,201903,0,0,3226084,4400,0,0,,3553,0
경기본부,201904,0,1,3185304,2916,0,0,,4677,0
경기본부,201905,0,0,2939517,0,0,0,,5352,0
경기본부,201906,0,0,3192076,0,0,0,,5889,0
경기본부,201907,0,0,3654487,0,0,0,,11616,0
경기본부,201909,0,812,3874545,0,0,0,,11352,0
경기본부,201910,1100,1,3232139,0,0,0,,5616,0
경기본부,201911,96250,0,0,5125,0,0,,21850,0
경기본부,201912,56350,4000,3576659,11175,0,0,,23375,0
경기본부,202001,16000,800,3914802,0,0,0,,4506,0
경기북부본부,201901,0,8400,2278736,3,0,0,,2514,0
경기북부본부,201902,6000,2800,2129112,0,2000,0,,2304,0
경기북부본부,201903,0,3000,1732549,0,0,19.6,,2320,0
경기북부본부,201904,0,0,1608304,0,0,4.67,,2552,0
경기북부본부,201905,0,0,1488954,0,0,0,,1989,0
경기북부본부,201906,0,0,1619338,0,0,0.01,,2575,0
경기북부본부,201907,0,0,1817044,0,0,0.02,,5442,0
경기북부본부,201909,0,0,1894908,0,0,0.02,,3748,0
경기북부본부,201910,0,0,1581566,0,1000,0.01,,2346,0
경기북부본부,201911,0,0,0,0,10000,0.05,,10345,0
경기북부본부,201912,0,29810,1918481,0,10000,54.1,,12225,0
경기북부본부,202001,6000,0,2102486,0,4000,25.65,,2456,0
경남본부,201901,0,1000,1899846,0,10000,0,,2842,0
경남본부,201902,0,1400,1796198,0,5000,0,,2528,0
경남본부,201903,0,1400,1545768,0,0,0,,2447,0
경남본부,201904,0,0,1557587,0,0,0,,2330,0
경남본부,201905,0,0,1523759,0,0,0,,3087,0
경남본부,201906,0,1,1633740,0,0,0,,2892,0
경남본부,201907,0,0,1772983,0,0,0,,7494,0
경남본부,201909,0,0,1803848,0,0,0,,7896,0
경남본부,201910,0,0,1496592,60,1713,0,,4362.5,0
경남본부,201911,0,2500,0,0,26770,0,,18745,0
경남본부,201912,0,7500,1686755,200,40000,0,,18827.5,0
경남본부,202001,0,1000,1873091,0,9700,0,,2900,0
경북본부,201901,14000,8942,880072,0,876,0,,17586,0
경북본부,201902,0,4545,892078,0,0,0,,1162,0
경북본부,201903,3000,606,662954,0,0,0,,961,0
경북본부,201904,0,48,621005,0,0,0,,1252,0
경북본부,201905,0,0,546928,0,0,0,,1611,0
경북본부,201906,0,0,556385,0,0,0,,777394,0
경북본부,201907,0,0,666523,0,0,0,,3732,0
경북본부,201909,0,0,704840,0,0,0,,4158,0
경북본부,201910,3000,0,565699,0,0,0,,2123.5,0
경북본부,201911,40005,4485,0,0,0,0,,9585,0
경북본부,201912,10000,18360,758227,0,0,0,,10015,0
경북본부,202001,17000,0,903404,0,0,0,,1350,0
경영지원처,201901,0,0,2428593,0,0,0,,7399,0
경영지원처,201902,0,0,2115015,0,0,0,,12202,0
경영지원처,201903,0,0,2240214,0,0,0,,10936,0
경영지원처,201904,0,0,2116761,0,0,0,,12205,0
경영지원처,201905,0,0,2180787,0,0,0,,12699,0
경영지원처,201906,0,0,2296712,0,0,0,,12146,0
경영지원처,201907,0,0,2716660,0,0,0,,28860,0
경영지원처,201909,0,0,2474501,0,0,0,,30234,0
경영지원처,201910,0,0,2365764,0,0,0,,12335,0
경영지원처,201911,0,0,0,0,0,0,,73095,0
경영지원처,201912,0,4000,2411918,0,0,0,,74140,0
경영지원처,202001,0,0,2407922,0,0,0,,12622,0
경인건설본부,201901,0,0,172850,0,0,0,,997,0
경인건설본부,201902,0,0,168966,0,0,0,,1761,0
경인건설본부,201903,0,0,138592,0,0,0,,1379,0
경인건설본부,201904,0,0,160458,0,0,0,,1567,0
경인건설본부,201905,0,0,210306,0,0,0,,1473,0
경인건설본부,201906,0,0,170419,0,0,0,,706,0
경인건설본부,201907,0,0,267220,0,0,0,,2180,0
경인건설본부,201909,0,0,271298,0,0,0,,2660,0
경인건설본부,201910,0,0,213069,0,0,0,,603,0
경인건설본부,201911,0,0,0,0,0,0,,4835,0
경인건설본부,201912,0,0,237870,0,0,0,,2915,0
경인건설본부,202001,0,0,252469,0,0,0,,775,0
광주전남본부,201901,0,3000,2601179,1349,3000,0,,4919,0
광주전남본부,201902,0,2900,2514117,0,3223,0,,4416,0
광주전남본부,201903,0,0,2135179,0,0,0,,3216,0
광주전남본부,201904,0,0,2105147,0,3000,0,,4413,0
광주전남본부,201905,0,0,1989431,0,0,0,,4126,0
광주전남본부,201906,0,0,2147112,0,0,0,,4000,0
광주전남본부,201907,0,0,2390405,0,0,0,,9604,0
광주전남본부,201909,0,0,2714169,0,2000,0,,10738,0
광주전남본부,201910,0,0,2222547,0,0,0,,6461,0
광주전남본부,201911,0,7000,0,0,23985,0,,19710,0
광주전남본부,201912,0,15370,2287471,0,45790,0,,21385,0
광주전남본부,202001,0,0,2522215,0,3000,0,,5397,0
남부건설본부,201901,0,0,130239,0,0,0,,359,0
남부건설본부,201902,0,0,138062,0,0,0,,250,0
남부건설본부,201903,0,0,119456,0,0,0,,727,0
남부건설본부,201904,0,0,123255,0,0,0,,603,0
남부건설본부,201905,0,0,117153,0,0,0,,86,0
남부건설본부,201906,0,0,124958,0,0,0,,0,0
남부건설본부,201907,0,0,147348,0,0,0,,138,0
남부건설본부,201909,0,0,191158,0,0,0,,1016,0
남부건설본부,201910,0,0,134097,0,0,0,,409,0
남부건설본부,201911,0,0,0,0,0,0,,3785,0
남부건설본부,201912,0,0,113837,0,0,0,,1185,0
남부건설본부,202001,0,0,130456,0,0,0,,303,0
남서울본부,201901,0,0,3659477,0,0,115,,36727,0
남서울본부,201902,0,0,3562906,0,0,32,,23298,0
남서울본부,201903,0,1,3203334,0,0,121,,11203,0
남서울본부,201904,0,0,3436311,0,0,68,,27157,0
남서울본부,201905,0,0,3412958,0,0,35,,15301,0
남서울본부,201906,0,0,3689490,0,0,12,,16872,0
