날짜,체결가,전일비,등락률,거래량(천주),거래대금(백만)
2020.02.07 ,2211.95,하락 15.99 ,-1%,800342,8813174
2020.02.06 ,2227.94,상승 62.31 ,3%,695216,8334737
2020.02.05 ,2165.63,상승 7.73 ,0%,574395,7736275
2020.02.04 ,2157.9,상승 39.02 ,2%,624641,7791178
2020.02.03 ,2118.88,하락 0.13 ,0%,836699,8068704
2020.01.31 ,2119.01,하락 28.99 ,-1%,710507,7226687
2020.01.30 ,2148,하락 37.28 ,-2%,602838,7105203
2020.01.29 ,2185.28,상승 8.56 ,0%,692300,6589949
2020.01.28 ,2176.72,하락 69.41 ,-3%,808878,8818232
2020.01.23 ,2246.13,하락 21.12 ,-1%,509608,6790103
2020.01.22 ,2267.25,상승 27.56 ,1%,608509,6365617
2020.01.21 ,2239.69,하락 22.95 ,-1%,770319,5569550
2020.01.20 ,2262.64,상승 12.07 ,1%,545491,5950403
2020.01.17 ,2250.57,상승 2.52 ,0%,580816,5444383
2020.01.16 ,2248.05,상승 17.07 ,1%,808331,6204474
2020.01.15 ,2230.98,하락 7.90 ,0%,746156,5946351
2020.01.14 ,2238.88,상승 9.62 ,0%,835899,7294227
2020.01.13 ,2229.26,상승 22.87 ,1%,488288,6214780
